,Date,Tweet,class
17,2022-12-31 23:10:36+00:00,"#Happy New Year. Happy birthday @nengiofficial 
HAPPY BIRTHDAY NENGI
BIG25
NENGI AT 25 
#NengiRebeccaHampson",1
18,2022-12-31 23:10:10+00:00,@InstaWaliBhabhi How are u lwbhabhi #happy new year to u and ur friends,1
19,2022-12-31 23:09:37+00:00,@22WrapUp @Siya_Hectic @ChannelOTV #happy new year❤️,2
20,2022-12-31 23:06:13+00:00,@Louisepoppy #happy New Year from United States at 6:00 p.m. we're on at raining in New York City,2
21,2022-12-31 23:04:54+00:00,"#Happy new year Nigerians,the government of Nigeria should allow #Apostle Ken Nwakama to disburse the UAAG Grant to avoid unnecessary unrest by the dying Nigerians that subscribed.
God bless Nigeria as they listen to this voice of reason#.@SaharaReporters @bereketefamily @UN",2
22,2022-12-31 23:04:41+00:00,"Bless up 2023❤️
#HAPPY NEW YEAR 🇳🇬NIGERIA",1
23,2022-12-31 23:01:50+00:00,"Happy New Year! All the best to you, your friends and family! #newYear #Happy",1
24,2022-12-31 23:01:36+00:00,"#Happy New Year! All the best to you, your friends and family! Be careful and enjoy the night! &lt;3",1
25,2022-12-31 23:01:25+00:00,"Another year! It's January 01, 2023 at 12:01AM
#Happy New Year",1
26,2022-12-31 23:01:18+00:00,It is:  #Happy #newyear #20insertyear #autoself #NewYear #NewYork #Paris #Copenhagen,1
27,2022-12-31 23:01:08+00:00,@FanDuelCasino #happy new year... Follow fanduel and fanduel casino !!,1
28,2022-12-31 23:00:31+00:00,"Happy New Year! All the best to you, your friends and family! Keep on engaging this year. #happy #newyear",1
29,2022-12-31 22:59:37+00:00,Happy New Year! All the best! #happy #newyear #spreadlove,1
30,2022-12-31 22:55:03+00:00,#Happy new year everyone A GRATEFUL HEART 🙏🙏🙏,1
31,2022-12-31 22:49:55+00:00,"May God bless you a long, sick and shameful life.

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheist #atheism #Christianity #JesusChrist",1
32,2022-12-31 22:48:41+00:00,"If you do not sin, God’s son died for nothing.

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheist #atheism #Christianity #JesusChrist",0
33,2022-12-31 22:48:07+00:00,"Forgive and forget? I’m neither God nor do I have Alzheimer’s.

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheist #atheism #Christianity #JesusChrist",0
34,2022-12-31 22:47:04+00:00,"God please give me patience, if you give me strength I will just punch them in the face

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheist #atheism #Christianity #JesusChrist",0
35,2022-12-31 22:46:14+00:00,"I told God to protect me from my enemies and I started losing friends.

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheist #atheism #Christianity #JesusChrist",0
36,2022-12-31 22:44:08+00:00,"God must love stupid people; he made so many.

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheist #atheism",0
37,2022-12-31 22:43:00+00:00,"Religion is just mind control

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheism #atheist",2
38,2022-12-31 22:42:02+00:00,"God made you in his image, really? Then why aren’t you invisible?

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheist #atheism",0
39,2022-12-31 22:41:52+00:00,"@scfc_d @BigLez67 @henryhumphreys1 Won a comp !!!! 
#NowtDaft

Will be in touch 
Thanks #Happy New Year",1
40,2022-12-31 22:40:40+00:00,"When they asked me what my religion was. I said I was Non-Delusional.

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheist #atheism",2
41,2022-12-31 22:39:35+00:00,"Too stupid to understand science? Try religion!

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheist #atheism",0
42,2022-12-31 22:38:09+00:00,"Wanna know the funniest thing about people who call people like me Satanists? They believe in Satan, and I don’t.

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheism",1
43,2022-12-31 22:37:08+00:00,"If you decide to drink, spend the night. Finally, let’s take care of each other! 
#Safety #Community #Prosperity #Family #Healthy #Happy #NewYear #FirstResponders #ColtonCalifornia #InlandEmpire",1
44,2022-12-31 22:36:46+00:00,"Thank God I’m an Atheist.

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheist #atheism",1
45,2022-12-31 22:36:04+00:00,"Adults with imaginary friends are stupid.

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter",0
46,2022-12-31 22:34:32+00:00,"If your religion requires you to hate someone, you need a new religion.

#metgala #apifamily
#thisismysong #mindfulness #shortstory #love #followme #happy #foryoupage #twitter #atheist #atheism",0
47,2022-12-31 22:31:54+00:00,Happy new year #happy #Welcome2023 #lastdance2022 #LastDance love u guy's,1
48,2022-12-31 22:27:02+00:00,From Trient Press have a blessed and happy new years #happynewyear #newyear #love #happy #newyearseve   #photography #like #photooftheday #newyears #party #follow #family  #winter #hello #reno #goals #likeforlikes #picoftheday #celebration #happyholidays #nevada #tahoe,1
49,2022-12-31 22:26:14+00:00,@LukhonaMnguni A #sad new year as we fail to even say #happy Or eat three meals a day 😢🇿🇦,0
50,2022-12-31 22:22:20+00:00,#Happy new year,1
51,2022-12-31 22:20:54+00:00,"Watu hatuopen-up tushapiga nduru jana, we meet same place same time This December🥱😂😂😂💔...#Happy New Year 2023 #Welcome2023 #goodbye2022 #NewYear",1
52,2022-12-31 22:20:44+00:00,Happy new year 2023 #pinetwork #Pipayment #Pitransactions #pi2023 #happy new year 2023🚀🎊🎶🎉🎉🎉🎉🎉🎉🎉🚀🚀🚀🚀,1
53,2022-12-31 22:16:11+00:00,"#Happy New Year To All.
May This Year Bring Lots Of Happiness,Love &amp; Peace In Your Life Aameen.
May Your All Dreams Come True.
Happy New Year 2023
Remember Me In Your Prayers❤❤❤ 
""Israr Khan""",1
54,2022-12-31 22:14:35+00:00,"#Hope is bright red shoes in a grey world, the starlight sparkle in a baby’s eyes and the midnight cloak worn by the moon. It’s there to take your breath away with loves first kiss and hold your hand at the graveside. Hope adds the #Happy to #NewYear 

#vss365 #HappyNewYear",1
55,2022-12-31 22:13:21+00:00,#HAPPY NEW YEAR_2K23,1
56,2022-12-31 22:12:21+00:00,"#Happy New Year! 2023 is the beginning of a new chapter. This is your year. Make it happen.

#HappyNewYear2023",1
57,2022-12-31 22:11:42+00:00,#Happy New Year To Everyone❤️💖,1
58,2022-12-31 22:11:35+00:00,Make friends with someone who is always #happy,1
59,2022-12-31 22:08:34+00:00,#happy new year,1
60,2022-12-31 22:08:13+00:00,"@CnT1223 @NakaOuiLani And don’t worry I didn’t take it personal or anything, we good my man text always get twisted as you never see the body language or the tone of what’s being said!
#happy new year m8",0
61,2022-12-31 22:07:04+00:00,"#Happy new year🎊
Blessings upon blessings 🙏",1
62,2022-12-31 22:02:57+00:00,"Let's change the DP with the new year and let's pray for the betterment of our loving country Pakistan.
#Happy-New-Year-2023",1
63,2022-12-31 22:01:30+00:00,"Happy New Year! All the best to you, your friends and family! #HPN #happynewyear #happy #manyreturns",1
64,2022-12-31 22:01:24+00:00,"Happy New Year! All the best! Be happy, my friends! #behappy #happy #happynewyear #congrats #newlife #freedom #allthebest #friends",1
65,2022-12-31 22:01:16+00:00,"Dear Lord, hear my prayers and let your will be done in 2023🙏🙌

#Happy new year 2023🎆🎇",2
66,2022-12-31 21:58:46+00:00,"Even when you feel it's bad, remember to reach out to others around you for help (ㅅ´ ˘ `) #happy",2
67,2022-12-31 21:55:45+00:00,"Happy New year 2023🎇🎆
#Happy EXO year❤️",1
68,2022-12-31 21:48:23+00:00,"May the year bring Happiness,Peace and Prosperity in your lives,
I wish you a joyous year 2023.Bless🙏🏼💯
#Happy New Year
#Welcome2023",1
69,2022-12-31 21:45:54+00:00,"#Happy New Year, Year 2023 

Isaiah 52:12
[12]You will not leave in a hurry, 
    running for your lives. 
For the Lord will go ahead of you; 
    yes, the God of Israel will protect you from behind.",1
70,2022-12-31 21:45:51+00:00,NIMEFIKA🙏 #Happy new year 2023 Fam❤️,1
71,2022-12-31 21:44:23+00:00,@NathanHeaney Haha wishful thinking ! #happy news years man all the best 🔴⚪️🤜🏼,1
72,2022-12-31 21:40:21+00:00,#happy #NewYear #eve for every one,1
73,2022-12-31 21:37:50+00:00,"May you find joy in each day. 
*#Happy New Year #2023NewYear* 😊",1
74,2022-12-31 21:37:17+00:00,#HAPPY NEW YEAR२०२३,1
75,2022-12-31 21:29:34+00:00,"As we saY 😌gooDbYe to tHe oLd aNd helLo to tHe new, may YouR nEw yeaR 💌be fulL of hoPe, 🤞🏼pRoMise, anD.. 🪄aLl tHe bLesSinGs life Has to oFfeR💫. HaPpy New YeaR!”💙#loving🥺  #love 🌿#caring #happy😌❤️ #beautiful #life #cute🌻💛 #instagram #loveyourself #happiness #lovequotes",1
76,2022-12-31 21:26:14+00:00,#Happy New Year❤️,1
77,2022-12-31 21:18:16+00:00,"Oh lord as am crossing over to a brand New year
Make all my endeavor and purse dreams show
I no wan dey play,No shege,No deaths,No No sapa,No loss,No damage 
God of Host
#chrome of oau#
#New year cross over #
#Happy new year
#Retweet",2
78,2022-12-31 21:16:54+00:00,"consistency is harder when no one is clapping for you.
You must clap for yourself those times .
Be your biggest fan 🫰❤️
#Happy new year",2
79,2022-12-31 21:16:27+00:00,"Wishing you a Happy New Year, may it be filled with new adventures and good fortunes 

#Happy #New #Year",1
80,2022-12-31 21:16:24+00:00,"2023 is here with us.Thank you God.
#Happy New Year",1
81,2022-12-31 21:11:47+00:00,#Happy #new #year to all my #friends.🎉🎉💐💐#Wishing you a very happy and #Prosperous #New #year #2023NewYear .😇💐💥🍭🍭❤🎉🎉🎉🎂🎂,1
82,2022-12-31 21:11:38+00:00,#Happy New Yearrrr 🥳🥳🥳!!,1
83,2022-12-31 21:10:06+00:00,#Happy year 2023🤍.,1
84,2022-12-31 21:07:11+00:00,"We try again.

#Happy new year 2023.",2
85,2022-12-31 21:07:05+00:00,"#Happy New Year 2023 To You All God's People.Tuishi kwa kupendana na kusaidiana, Maisha ni mafupi.",1
86,2022-12-31 21:06:56+00:00,@yoshimu_cork #Happy new year !,1
87,2022-12-31 21:03:14+00:00,Trees grow in silence. Only make noise falling down #happy fucking #NewYear,1
88,2022-12-31 21:02:34+00:00,"Happy New Year! May you accomplish your goals, meet new friends, find peace in your every day, and achieve new heights. Wishing you success and prosperity in this new year. #Happy #newyear #GoodBye2022 #HappyNewYear",1
89,2022-12-31 20:54:43+00:00,#happy new year all,1
90,2022-12-31 20:47:38+00:00,"#Happy New Year🎉🎊🎇🎇 ❣️❣️
2023",1
91,2022-12-31 20:46:38+00:00,"I have one body butter of each left and Started initially with seven each. 🙌🙃
Aloe + Eucalyptus $16.79,
Crème de la Crème (vanilla) $17.64,
&amp; Oh, so Chocolatey is $17.15. 
All 6 oz and $4.90 for shopping!!
#happy #lovelagaddessadore #bysilasia #bodybutters #shoplagaddessadore",2
92,2022-12-31 20:42:57+00:00,@garyowencomedy Have a great 2 shows Gary! Wish I could be there but I'm working too. Lol. #Happy New Year,2
93,2022-12-31 20:41:29+00:00,"Another year of success and happiness has passed.With every new year comes greater challenges and obstacles in life.
I wish you courage, hope and faith to overcome all the hurdles you face. May you have a great year and a wonderful time ahead.

God bless you
#HAPPY NEW YEAR
#2023",1
94,2022-12-31 20:41:29+00:00,"Happy new year.
10 years ago you said, we can't be together because you don't want to lose a friend. But deep inside I know that you just can't love me the way I'm loving you. 
#love #BeginAgain #ILoveYou #romance #quotes #pain #emotion #happy #memories #newyear #2023",1
95,2022-12-31 20:34:50+00:00,Any one with #arsenallogo n #happy 2023💥💥,1
96,2022-12-31 20:34:46+00:00,"YEAR 2022
                    I learned a lot from this year,were iam laughed iam cried and learned many things ...... Thanks for everything.....🙏#HAPPY NEW YEAR 2023🎊",2
97,2022-12-31 20:34:41+00:00,#HAPPY NEW YEAR,1
98,2022-12-31 20:33:42+00:00,#Happy new year 2023,1
99,2022-12-31 20:26:16+00:00,"@witty_sim Wishing you a Happy New Year 2023 with the hope that you will have many blessings in the year to come.

#Happy New year#",1
100,2022-12-31 20:26:10+00:00,"Maybe this year also noting gonna change for me , every year give me a new season of fuck.
Anyway hope for good 😊
#Happy fucking new year 🥂",0
101,2022-12-31 20:26:01+00:00,"🤍🤍#Wishing you a Happy new year to all my friends and relatives! 
May it be filled with new adventures and good fortunes❤😇🙏#happy new year",1
102,2022-12-31 20:21:01+00:00,"To all, #happy #2023NewYear ❤️
May 2023 give you a lot of #gains",1
103,2022-12-31 20:20:04+00:00,"#Security #News 

#Americans have a #president that I don`t know the #president as good as he is.

He lowered #tax for a #corporate #business because a #corporation is providing E V E R Y T H I N G to help #employees #work in a #correct manner.

A #happy new year #Americans.",2
104,2022-12-31 20:19:31+00:00,@ShaniaTwain #Happy New Year..🙋‍♂️,1
105,2022-12-31 20:18:15+00:00,"Dubai 2k23 official.
#Happy New year",2
106,2022-12-31 20:17:22+00:00,"#HaPPy new year 2k23🥀😍 verEre AmEeEeEn✨♥️ VerEr inshallah  Muslim prayer ALLaH SoOoOo Mubarak 💫🎉  Family AllaH💚 year new 2K23  Mather SMile sister brother me you're,  AmEeEen ♥️🙏🏼🥰  Hai SEnding you all EndlEss And happiNeSs! 🤗",1
107,2022-12-31 20:15:36+00:00,"Don't wait to be rich to be Happy.      
Happiness is free 🙂!
#Happy new year in Advance 💞🇸🇸❤🇸🇩🧨🎉🎈",1
108,2022-12-31 20:14:45+00:00,#Goodbye 👋 2022 #Thanks for being a pain in the arse ! #NYE2023 #Happy #NewYear 🌟🎊🎉🍾🥂,0
109,2022-12-31 20:13:55+00:00,#Happy #New #year 2023 to all friends &amp; near &amp; dear ones &amp; your #families 🙏😊🥳 #HappyNewYear #HappyNewYear2023,1
110,2022-12-31 20:12:54+00:00,Watching from Pemba in Mozambique at Cabo Delgado Province 🔥🔥🔥#HAPPY 2023 EVERYBODY🇿🇦❤#LastDance2022,2
111,2022-12-31 20:12:43+00:00,"#happy year New
No matter what you are going through, there is always a way out.",1
112,2022-12-31 20:12:06+00:00,@Official_SABC1 #happy new year to everyone ❤️❤️❤️,1
113,2022-12-31 20:09:34+00:00,". ""If you need help making your assignment shine, I'm the person to call.""
#happy new year",2
114,2022-12-31 20:04:44+00:00,"On this New Year’s Eve ,
Wish all of you a peaceful, happy, healthy , &amp; successful year 2023  💐
#2023NewYear #HappyNewYear #HappyNewYear2023 #happy #NewYearsEve",2
115,2022-12-31 19:59:44+00:00,@saharzaman #Happy New year,1
116,2022-12-31 19:59:18+00:00,"#Happy #New #Year 
#ScotlandFreeIn23
Best wishes one and all 🥃",1
117,2022-12-31 19:58:28+00:00,I wish all the raindrops were lemon drops and gum drops. #happy,1
118,2022-12-31 19:57:28+00:00,#happy new years 2023,1
119,2022-12-31 19:53:04+00:00,@abcdiagnosis Looking awesome all of you!!!!!  Xxx ##happy New year… I do plan on doing a retreat this time :) xx,1
120,2022-12-31 19:51:53+00:00,"They will waste #Billions and #People will be #Happy to #Pay, 4 #Nothing?",0
121,2022-12-31 19:50:39+00:00,"@GeetabenRabari #Happy birthday dear sis ..
#thakar bless you dii ..",1
122,2022-12-31 19:45:14+00:00,#Happy #New #year 2023 to all friends &amp; near &amp; dear ones &amp; your #families 🙏😊🥳 #HappyNewYear #HappyNewYear2023,1
123,2022-12-31 19:42:53+00:00,"We end 2022, 7 points clear, 12 above 3rd, 13 above Spurs, 15 above Liverpool, having dropped 5 points all season, all with the youngest squad in the league!

Arteta said some time ago that this project will pop! Well, its popping!

Stay humble Gooners!

#Happy New Year! 🔴⚪️",2
124,2022-12-31 19:42:30+00:00,#happy new year,1
125,2022-12-31 19:40:44+00:00,"It is the year to trust in yourself and pursue your wildest ambitions; a new year brings abundant opportunities.
Happy New Year 2023
#morningvibes #quoteoftheday #success #happiness #positivevibes #believe #happy #mindset #goals #HappyNewYear2023 #HappyNewYear",1
126,2022-12-31 19:39:28+00:00,I found @bearsdenmusic in 2022 and it will be with me almost daily in 2023.  Happy #NYE #music #beautiful #happy,1
127,2022-12-31 19:36:35+00:00,#HAPPY NEW YEAR MADAFAKA,1
128,2022-12-31 19:31:27+00:00,"#Happy new year 
Welcome: 01/01 #2023ready",1
129,2022-12-31 19:31:26+00:00,"*Wishing you and all of your loved ones health and happiness in the new year.*
❤️🥳🍻🎊💐 #Happy #New #year2023",1
130,2022-12-31 19:31:09+00:00,@CryptoKing4Ever #Happy new year 2023,1
131,2022-12-31 19:31:08+00:00,"#HappyNewYear2023
 I hope the New Year 2023 brings abundant joy, prosperity, love, and blessings! The New year will be extraordinary and filled with happiness for you. I wish you and your family a wonderful new year! I am very fortunate to have you in my life this New Year #Happy",1
132,2022-12-31 19:30:27+00:00,"Welcome 2023!

Truth is

I have no plans
No expectations
No desires
No goals 🤭😁

#happy",2
133,2022-12-31 19:29:23+00:00,"** #Season's #greetings :
==================
#Happy #New #Year 2023 !! We sincerely #hope that it will be a year of #success, #prosperity, #joy, #happiness, #good #health, and #wealth for #humankind, #Amen !!  👍👏💙🙏

#HappyNewYear 
#HappyNewYear2023 
#SEASONSGREETINGS",1
134,2022-12-31 19:26:42+00:00,@yadavtejashwi #Happy New Year 2023,1
135,2022-12-31 19:25:22+00:00,@AqrabaFatima Masha allah salaam zainabع #happy new year may allah bless you ❤🌷👍🏼,1
136,2022-12-31 19:25:03+00:00,"#Happy New Year to all 🎆
$stay healthy.",1
137,2022-12-31 19:24:26+00:00,"#Happy New Year @PawanKalyan annaya..
#Love Youu..",1
138,2022-12-31 19:22:11+00:00,@KChiruTweets #Happy new year sir♥,1
139,2022-12-31 19:19:31+00:00,"InSha ALLah 2023 Will be the year of happiness, love, financial Freedom and good health for everyone . It will be the best year of our life .
#Happy new year❤️
#HappyNewYear 
#Arbi",1
140,2022-12-31 19:19:17+00:00,@dfox296 So true. Restructuring the family (when kids are involved) can have so many silver linings. #peacefulhomes #coparenting #happy #stillafamily,1
141,2022-12-31 19:18:52+00:00,"To all my 
Twitter #friends 
A #happy and
#Peaceful 
#New #Year.",2
142,2022-12-31 19:15:47+00:00,#Happy New Year,1
143,2022-12-31 19:15:41+00:00,#Happy New Year to all of my Dear and Respected Friends !,1
144,2022-12-31 19:13:48+00:00,"Happy New Year Everyone!! Have a Good Year 
#HappyNewYear #NewYear #Happy #NewYear",1
145,2022-12-31 19:13:11+00:00,"#Happy New Year 2023
          ""May the New Year bring you happiness, peace, and prosperity"".
Ameen❣️",1
146,2022-12-31 19:12:42+00:00,"@greenysoulin V #Happy &amp; Special Birthday '23 to You from my side 🎂🎉👍, Mahadev Bless You 🚩🙏🏻",1
147,2022-12-31 19:09:51+00:00,"Take a leap of faith and begin this wondrous new year by believing
#Happy #New #Year Dear All 2023 But Still miss someone🔥🖤",1
148,2022-12-31 19:07:54+00:00,"#Happy #New #Year to everyone, friends and foes. Let's hope that friends remain friends and foes become friends.",1
149,2022-12-31 19:02:42+00:00,"We wish you a happy new year 2023! We have a lot of exciting things in store, and we can’t wait to share with you!

#happy #newyear #happyholidays #newyear #newyearseve #newyears #2023 #newyearseve #2023happynewyear #2023newyearseve #happyholidays",1
150,2022-12-31 19:01:53+00:00,@imlikhita Tnq🤝#Happy new year💐💐,1
151,2022-12-31 19:00:39+00:00,"Happy new year 🎆💐 to 8 billion
Peace, love , goodness ❣️ we  enjoy every each moment of this new 2023 yaar ☺️
#HappyNewYear2023 
#HappyNewYear #love #Peace
#2023 #happyday #happy #01/01/2023",1
152,2022-12-31 19:00:00+00:00,"🎉#MerryChristmas and #HappyNewyear!!!🎉
I #wish the year 2023'd be better for You and Your Family. #Health wouldn't be an issue and a dose of dopamine and endorphins would be produced naturally in your body each day. Don't forget that being #happy is your 11111100111 #business.",1
153,2022-12-31 18:59:43+00:00,#Happy #NewYear to all of you !,1
154,2022-12-31 18:58:14+00:00,#Happy new year 💐,1
155,2022-12-31 18:57:02+00:00,@RMKFC @iamRashmika #Happy New year I love you,1
156,2022-12-31 18:56:39+00:00,"Anyway, I have a glass of wine, a box of truffles and I’m settling down to watch the @Ri_Science Xmas lectures. #happy",2
157,2022-12-31 18:55:23+00:00,"#happy new year nanba
#happy new year talapathy",1
158,2022-12-31 18:54:47+00:00,#Happy new year 2023,1
159,2022-12-31 18:54:32+00:00,@AshwaniAmbedker #Happy new year,1
160,2022-12-31 18:51:57+00:00,"Hey, 
New year frndz😃

#happy ka to pta ni🫠",2
161,2022-12-31 18:50:53+00:00,@JonGordon11 @NDwarka1 Yup Stay focused and stay the course #Happy 2023,2
162,2022-12-31 18:48:42+00:00,"#Happy #New #Year 💕 💕💕 Wish you good Health ,  Fortune , Happiness  and Success 
Very Best of luck to all of you ...",1
163,2022-12-31 18:48:00+00:00,"All
#HAPPY NEW YEAR 2023",2
164,2022-12-31 18:47:23+00:00,#Happy New Year 2023..,1
165,2022-12-31 18:45:29+00:00,The biggest thing for me was changing jobs and I'm so happy in the job I'm in now.i have so many things to look forward to in 2023 #highlight #Happy,1
166,2022-12-31 18:45:06+00:00,Wishing you all a very #happy and #healthy #NewYear #2023 🥂,1
167,2022-12-31 18:43:04+00:00,#HappyNewYear2023 ? Well I don't understand the concept of #Happy and #New is not always #good so I will stick to just a #Year2023,2
168,2022-12-31 18:42:44+00:00,@DarjeelingVoice #Happy New year,1
169,2022-12-31 18:42:21+00:00,"Happy new year 
#HappyNewYear2023 
#NewYear #NewYear2023 
#happy #NewYear",1
170,2022-12-31 18:41:57+00:00,"#Happy New year 🎉  2023 all friends  and  relatives ❤ 💖 
#HappyNewYear2023 🥰😘🌷",1
171,2022-12-31 18:40:49+00:00,#Happy new year 2023,1
172,2022-12-31 18:40:06+00:00,#happy new year 2023,1
173,2022-12-31 18:38:53+00:00,@DieteHetper #happy new year 2023,1
174,2022-12-31 18:38:26+00:00,#Happy New Year,1
175,2022-12-31 18:37:17+00:00,All OLD YEAR problems will continue into the NEW YEAR and the NEW YEAR will just bring in NEW PROBLEMS #Happy Old NewYear to all....🤙🤙,0
176,2022-12-31 18:35:39+00:00,@Pritiyadavvns #Happy new year,1
177,2022-12-31 18:33:34+00:00,"A new year is like a blank book, and the pen is in your hands. It is your chance to write a beautiful story for yourself.

#happynewyear2023
#HAPPY #NEW #YEAR #2023NewYear",1
178,2022-12-31 18:33:21+00:00,"#HappyNewYear2023 #happy #2023welcome 
Happy near all of u guys . 
Gods gives you lots of happiness.",1
179,2022-12-31 18:32:05+00:00,#Happy New yer,1
180,2022-12-31 18:30:46+00:00,"Happy New Year 2023😊
#Newyear
#2023NewYear 
#Happy",1
181,2022-12-31 18:30:27+00:00,"#Happy new year 

#Welcome 2023",1
182,2022-12-31 18:30:15+00:00,#tw Wishing you a #happy New Year with the hope that you will have many blessings in the year to come. #happynewyear,1
183,2022-12-31 18:27:37+00:00,"We all make mistakes, have struggles, and even regret things in our past. But you are not your mistakes, you are not your struggles, and you are here NOW with the power to shape your day and your future.#happy new year 2023",2
184,2022-12-31 18:27:09+00:00,"Wishing you a Happy New Year🥰🥳🪄🎇🎆🎇🧨with the hope that you will have many blessings in the year to come!
#HappyNewYear2023 
#NewYear #happy #2023NewYear #Kerala #KANNUR #hope #wishes",2
185,2022-12-31 18:27:04+00:00,"Years go and come but your blissful bless give a us strength and create a potential to achive the goal of success. Happy New year 🙏🙏
@sksomya 
@santoshbhargav2 
@Isakshi1610 
@rajesh_amh 
@kanchansingh87 
#Happy new year",2
186,2022-12-31 18:20:45+00:00,#Happy New Year 2k23,1
187,2022-12-31 18:20:36+00:00,"#AVANI wish you to look forward to the upcoming year with confidence and courage, giving wings to your dreams! Live your life to the fullest extent. 

#HappyNewYear!

#happynewyear #newyearsday    #newyearseve #happy #instagram #fashion #photography #party #winter #nature #like",1
188,2022-12-31 18:20:26+00:00,#Happy new year2023 to all,1
189,2022-12-31 18:19:26+00:00,"welcome to our crossover service
#citam Embakasi
#AriseandShine
#crossovernight 
#happy 2023",2
190,2022-12-31 18:15:03+00:00,####Happy new year feeling better today ###,1
191,2022-12-31 18:09:08+00:00,"*It’s a happy hour but the enemy is still at work.*

God bless you and we continue to have good relations and exchanges in the new year.

#HAPPY NEW YEAR IN ADVANCE
#SecurityTips 
CC: @Jerryebune",0
192,2022-12-31 18:08:15+00:00,You want your kids #happy and #healthy,1
193,2022-12-31 18:06:51+00:00,"# WelCome 2 0 2 3 
 #Happy New Year",1
194,2022-12-31 18:04:15+00:00,"Today before we have the last sleep in 2022 to get up in 2023, let us review wat all we did that made us feel low later on. Time just to see inward and decide to be better human beings in 2023. #Happy New Year 2023.",1
195,2022-12-31 18:02:42+00:00,How can we love something that we harm or how can we harm something that we love? 😬 #Respect #Peace #Love #Happy,2
196,2022-12-31 18:02:09+00:00,"Take Action. That's it. 

#happy 2023",2
197,2022-12-31 17:59:10+00:00,"How we feeling this afternoon? Comment with your hashtag. Are you #hungry, #tired, #happy, #blessed? Let me know! #simplyfenese",2
198,2022-12-31 17:58:20+00:00,#HappyNewYear2023 #HappyBirthdaySalmanKhan #happy new year,1
